"ID","FSM","C1_Eng","C1_Mat","C2_Eng","C2_Mat","C3_Eng","C3_Mat","C1_Btotal","C2_Btotal","C3_Btotal","C1_AGtotal","C2_AGtotal","C3_AGtotal","C1_SCtotal","C2_SCtotal","C3_SCtotal","C1_LTtotal","C2_LTtotal","C3_LTtotal","C1_Ltotal","C2_Ltotal","C3_Ltotal"
1136,1,4,4,4,4,4,5,37,30,33,10,15,16,73,48,35,16,37,24,53,9,14
1137,1,4,4,4,4,4,6,44,35,38,15,8,15,88,62,38,19,31,29,43,17,7
1138,1,4,4,4,4,5,5,37,44,33,13,11,15,104,106,99,34,25,24,33,13,11
1139,1,5,4,5,4,5,6,32,30,36,13,15,13,142,54,57,28,40,23,26,11,13
1140,1,4,4,4,4,6,5,32,36,37,13,18,14,100,97,92,40,40,15,21,12,8
1141,1,5,4,5,4,6,6,44,44,42,16,15,14,108,144,126,22,40,22,35,10,12
1142,1,3,3,3,3,4,4,35,42,37,14,20,16,121,103,71,34,31,19,22,7,14
1143,1,4,4,4,4,5,5,31,33,32,18,17,13,40,23,24,40,40,11,15,7,7
1144,2,3,4,3,4,4,5,33,37,36,11,12,12,52,45,44,37,34,22,32,13,12
1145,1,5,4,5,4,5,6,31,33,33,15,16,15,40,32,34,40,40,12,20,8,7
1146,1,2,2,2,2,3,4,36,38,33,17,18,14,51,55,26,40,37,19,65,15,29
1147,1,4,4,4,4,5,6,32,34,34,17,15,13,48,62,72,40,31,25,20,9,7
1148,2,4,4,4,4,6,5,28,30,35,7,13,16,111,29,24,37,40,17,26,10,7
1149,1,4,4,4,4,6,6,37,34,36,14,17,14,66,38,25,31,40,10,17,7,9
1150,1,4,5,4,5,5,5,35,37,45,15,19,17,63,105,53,37,40,26,27,18,18
1151,1,4,5,4,5,5,6,39,33,28,11,18,15,104,70,36,31,40,19,31,12,11
1152,1,4,4,4,4,5,5,37,35,34,15,16,16,62,95,39,31,40,20,28,7,12
1153,1,4,4,4,4,5,5,32,34,33,15,20,19,48,49,21,34,37,10,22,8,7
1154,1,4,4,4,4,6,6,37,32,36,18,20,14,81,60,45,28,28,32,30,9,8
1155,2,5,4,5,4,6,6,33,33,32,17,17,15,52,23,22,40,40,10,17,7,7
1156,1,5,4,5,4,6,6,32,29,33,16,12,14,68,48,48,31,34,20,18,16,11
1157,1,5,4,5,4,6,6,35,35,38,12,17,13,77,52,23,40,40,16,23,9,7
1158,1,3,4,3,4,5,6,39,37,34,13,9,14,122,67,41,25,31,16,29,13,11
1159,1,4,4,4,4,5,5,35,37,31,15,16,18,56,53,26,37,40,20,52,14,8
1160,1,3,4,3,4,5,6,38,32,36,12,14,8,47,33,28,16,37,28,28,8,9
1161,2,3,4,3,4,4,5,41,37,35,11,12,14,143,141,84,13,19,10,21,10,11
1162,1,4,5,4,5,6,6,34,37,36,19,17,17,76,22,31,37,19,32,34,12,7
1163,1,5,5,5,5,6,6,31,32,30,17,16,17,38,41,49,40,40,19,19,9,9
1164,1,4,4,4,4,4,5,41,35,21,10,12,16,116,90,40,28,31,17,45,8,9
1165,1,4,5,4,5,5,6,31,35,35,15,14,14,54,85,45,34,34,20,25,22,13
1166,1,4,4,4,4,5,5,38,33,34,12,18,19,68,27,32,10,40,10,55,10,10
1167,1,4,4,4,4,4,6,37,34,34,14,13,15,70,42,37,25,34,20,29,9,15
1168,1,4,4,4,4,6,6,30,30,31,12,13,13,62,59,38,40,40,24,21,10,11
1169,2,5,4,5,4,6,6,27,33,35,15,11,13,42,32,29,37,40,19,31,13,8
1170,2,4,5,4,5,5,6,38,38,29,13,16,13,89,54,33,28,40,22,23,21,16
1171,1,4,4,4,4,5,6,32,38,33,13,14,11,109,78,65,34,40,18,23,9,10
1172,1,4,4,4,4,4,6,35,37,26,14,12,13,90,53,26,22,34,25,23,9,11
1173,2,5,5,5,5,5,6,39,32,33,16,16,17,73,52,30,31,40,20,28,9,9
1174,1,5,4,5,4,6,6,35,34,38,16,12,12,62,23,26,40,37,11,21,7,8
1175,1,3,4,3,4,5,5,42,32,34,17,16,10,59,38,31,10,40,22,25,9,9
1176,1,4,4,4,4,5,4,32,40,37,16,14,9,93,109,81,28,40,22,33,23,14
1177,1,4,4,4,4,5,6,32,35,32,13,16,12,57,33,40,40,40,23,21,9,8
1178,2,5,4,5,4,6,6,31,35,33,12,18,18,107,116,66,31,28,20,26,13,11
1179,1,4,4,4,4,6,6,38,40,34,16,17,16,96,150,41,25,37,17,22,21,10
1180,1,5,5,5,5,6,6,31,28,35,16,8,14,65,52,46,40,28,20,26,27,22
1181,1,4,4,4,4,5,5,32,33,26,13,13,11,30,26,20,40,40,12,16,8,8
1182,2,4,2,4,2,4,5,30,40,31,14,17,17,61,61,52,31,31,16,51,12,12
1183,1,4,4,4,4,5,5,29,40,36,15,16,14,119,93,69,28,13,27,25,10,8
1184,1,4,4,4,4,6,6,34,39,41,16,16,17,78,93,34,37,34,23,26,11,11
1185,1,4,4,4,4,5,5,29,32,32,17,14,18,47,40,30,40,40,21,20,9,7
1186,2,3,4,3,4,4,5,38,37,36,15,17,16,33,32,38,40,40,20,20,8,12
1187,1,4,4,4,4,5,5,36,42,42,14,17,15,139,98,105,34,34,20,27,24,12
1188,1,5,5,5,5,6,6,34,37,33,17,16,15,103,90,61,28,34,19,28,15,14
1189,1,4,5,4,5,5,6,35,36,42,15,17,14,68,93,43,37,37,19,19,26,19
1190,1,4,4,4,4,5,6,34,39,33,12,13,13,69,93,24,37,16,16,24,25,9
1191,1,5,4,5,4,5,6,37,36,37,10,14,12,60,73,31,37,40,17,16,14,9
1192,1,4,4,4,4,5,5,35,34,34,15,17,17,100,46,24,37,40,20,18,8,8
1193,1,4,4,4,4,5,6,30,33,34,17,14,16,120,102,32,34,37,17,16,21,13
1194,1,5,5,5,5,5,6,34,32,34,17,15,14,43,31,34,40,31,19,22,10,8
1195,1,3,3,3,3,4,5,42,30,33,20,18,15,109,27,75,19,31,21,32,12,9
1196,1,3,3,3,3,4,5,40,38,39,13,16,11,128,53,43,34,25,30,30,12,22
1197,1,4,4,4,4,5,6,30,31,33,15,17,14,44,21,24,37,40,16,24,12,7
1198,1,4,4,4,4,4,5,34,31,34,13,16,13,64,21,27,22,40,10,35,8,7
1199,1,4,3,4,3,5,4,37,41,32,7,16,20,135,112,78,28,31,24,22,13,14
1200,1,3,4,3,4,5,6,38,35,35,17,13,10,122,101,62,40,25,21,42,22,24
1201,2,3,4,3,4,4,5,34,34,32,19,15,13,84,49,54,34,40,17,20,15,10
1202,1,5,5,5,5,6,7,37,31,31,12,13,12,111,32,40,31,40,21,29,9,7
1203,1,4,4,4,4,5,5,31,30,35,15,16,16,59,36,54,28,34,21,33,10,10
1204,1,4,4,4,4,4,5,37,38,32,4,6,14,88,44,34,28,22,20,58,16,7
1205,2,4,4,4,4,5,4,31,33,33,11,15,15,48,50,40,34,40,15,24,14,13
1206,2,4,4,4,4,6,6,35,31,33,12,13,12,141,65,53,28,31,24,24,13,9
1207,1,4,4,4,4,5,5,35,40,39,19,16,16,81,99,60,31,25,31,19,20,17
1208,1,4,4,4,4,6,6,33,32,35,18,15,18,65,29,40,37,40,16,17,8,7
1209,1,4,4,4,4,5,5,37,35,35,14,12,19,72,32,31,19,40,20,25,15,8
1210,1,5,4,5,4,6,6,30,36,27,12,14,10,67,142,75,37,40,26,22,17,14
1211,2,4,5,4,5,5,5,39,34,34,19,17,17,100,66,23,40,40,12,15,7,7
1212,2,4,5,4,5,5,6,32,33,32,20,20,19,46,24,20,37,40,13,17,7,7
1213,2,4,4,4,4,5,6,36,37,35,15,11,16,112,54,49,31,28,20,33,13,9
1214,1,4,4,4,4,6,6,33,29,32,12,17,9,39,28,29,37,40,19,20,15,12
1215,2,5,4,5,4,4,4,39,34,36,7,17,17,138,118,50,19,31,28,48,13,11
1216,1,4,5,4,5,6,6,43,36,34,16,18,13,101,103,53,34,31,20,32,12,11
1217,2,3,4,3,4,4,5,34,36,34,17,15,17,55,92,41,31,40,24,15,10,7
1218,2,4,4,4,4,5,5,33,34,36,14,11,12,64,37,32,10,40,27,23,7,7
1219,2,3,2,3,2,3,3,38,47,43,14,17,17,102,51,60,25,40,13,53,18,14
1220,2,5,4,5,4,5,5,33,44,38,16,11,14,77,70,51,34,37,24,15,22,7
1221,1,4,4,4,4,6,6,30,31,36,19,19,16,47,58,35,37,40,22,17,12,9
1222,1,4,4,4,4,5,5,31,34,30,17,14,16,43,35,44,40,40,19,20,9,7
1223,1,1,2,1,2,3,4,39,38,39,7,17,17,93,98,75,25,40,17,29,12,16
1224,1,3,4,3,4,4,4,44,35,35,16,12,10,63,128,25,31,31,20,24,19,9
1225,1,4,4,4,4,5,6,34,34,34,16,13,12,71,30,49,40,40,14,23,9,9
1226,1,4,5,4,5,5,6,30,35,33,14,15,13,74,56,37,37,37,21,28,12,10
1227,1,4,4,4,4,6,6,32,33,31,16,19,18,70,33,21,40,13,12,30,15,11
1228,2,3,3,3,3,4,4,36,40,38,17,16,14,112,103,50,37,31,19,28,16,12
1229,1,4,4,4,4,6,6,37,33,31,15,17,15,53,22,21,37,40,13,27,11,7
1230,1,4,4,4,4,6,6,35,36,37,18,12,13,63,91,39,40,37,21,19,10,10
1231,1,3,4,3,4,5,6,36,31,32,16,16,17,56,49,40,34,40,24,23,10,9
1232,2,2,3,2,3,3,3,37,33,36,17,12,10,41,42,34,31,40,20,24,12,12
1233,1,4,5,4,5,5,6,33,37,30,19,15,16,93,32,28,40,31,24,18,13,11
1234,2,3,3,3,3,3,4,37,38,36,12,10,10,55,67,39,31,31,24,20,14,11
1235,1,4,4,4,4,6,4,30,33,33,17,15,18,46,47,25,40,37,16,16,7,7
1236,1,5,5,5,5,7,6,38,32,41,15,16,10,77,102,33,34,40,20,28,16,12
1237,2,4,4,4,4,5,5,38,40,38,14,18,12,99,80,42,34,40,18,27,11,15
1238,1,4,4,4,4,4,6,35,33,27,15,11,12,122,69,67,31,31,24,23,15,11
1239,1,4,4,4,4,6,6,34,37,36,17,20,20,111,104,26,37,40,11,22,9,8
1240,1,4,4,4,4,5,4,31,40,29,19,14,12,54,40,50,37,34,18,31,9,11
1241,1,5,4,5,4,6,6,31,35,34,20,20,18,24,52,52,40,40,22,18,10,8
1242,2,2,2,2,2,4,4,40,37,42,9,15,15,105,94,51,25,31,28,42,17,12
1243,2,4,5,4,5,5,6,31,39,32,15,4,14,64,67,27,40,28,22,28,20,8
1244,1,4,4,4,4,5,4,38,41,37,15,12,16,127,73,36,31,34,18,40,8,7
1245,1,4,4,4,4,6,4,32,32,33,12,12,14,61,75,33,40,31,23,32,16,16
1246,1,3,4,3,4,4,6,34,34,35,10,16,13,62,54,32,37,37,21,56,8,11
1247,1,4,4,4,4,5,5,38,28,30,10,18,14,65,41,25,40,40,19,15,7,8
1248,1,4,4,4,4,5,6,36,37,29,16,15,11,71,59,42,34,25,14,26,11,19
1249,1,4,4,4,4,5,4,31,38,33,16,16,14,70,61,44,37,37,20,25,12,13
1250,1,5,4,5,4,6,5,34,36,35,18,12,15,49,84,47,31,31,22,25,17,17
1251,1,4,4,4,4,5,5,32,33,30,17,19,16,66,47,27,40,40,28,19,15,8
1252,1,5,4,5,4,5,6,28,34,34,13,19,16,45,44,56,40,37,19,15,8,7
1253,1,3,3,3,3,5,5,27,30,31,12,16,15,63,34,28,40,37,28,25,9,14
1254,1,4,4,4,4,5,4,38,33,33,12,13,12,107,87,71,31,19,27,23,12,14
1255,1,4,4,4,4,5,5,42,34,37,13,13,16,107,61,28,34,28,15,29,11,10
1256,1,4,4,4,4,5,4,29,33,34,14,14,16,61,44,86,34,31,22,24,7,9
1257,1,4,4,4,4,6,6,39,40,57,14,16,12,93,121,33,31,40,22,35,17,7
1258,1,4,4,4,4,5,6,38,35,34,13,12,15,103,119,35,37,28,16,26,16,11
1259,2,2,2,2,2,2,5,41,36,32,12,16,16,85,31,39,28,37,11,21,13,12
