"ID","Time","FSM","Eng","Mat","Btotal","AGtotal","SCtotal","LTtotal","Ltotal"
1158,1,0,0,0,0,0,0,0,0
1158,2,0,0,0,0,0,0,0,0
1158,3,0,5,6,0,0,0,0,0
1159,1,1,4,4,0,0,0,0,0
1159,2,1,0,0,37,16,53,0,14
1159,3,1,5,5,31,18,26,20,8
1160,1,1,3,4,0,12,0,0,28
1160,2,1,0,0,0,0,33,0,8
1160,3,1,5,6,36,8,28,28,9
1161,1,2,3,4,41,11,0,0,21
1161,2,2,0,0,37,12,141,0,10
1161,3,2,4,5,35,14,84,10,11
1162,1,1,4,5,0,0,0,0,0
1162,2,1,0,0,37,17,22,0,12
1162,3,1,6,6,36,17,31,0,7
1163,1,1,5,5,31,17,38,0,19
1163,2,1,0,0,32,16,41,0,9
1163,3,1,6,6,30,17,49,19,9
1164,1,1,4,4,0,0,0,0,0
1164,2,1,0,0,35,12,90,0,8
1164,3,1,4,5,21,16,40,17,0
1165,1,1,4,5,0,0,0,0,0
1165,2,1,0,0,35,14,85,0,22
1165,3,1,5,6,35,14,45,20,13
1166,1,1,4,4,0,0,0,0,0
1166,2,1,0,0,33,18,27,40,10
1166,3,1,5,5,0,19,32,10,0
1167,1,1,4,4,37,14,70,0,29
1167,2,1,0,0,34,13,42,0,9
1167,3,1,4,6,34,15,37,20,15
1168,1,1,4,4,0,0,0,0,0
1168,2,1,0,0,30,13,59,0,10
1168,3,1,6,6,31,0,38,24,11
1169,1,2,5,4,27,15,0,0,31
1169,2,2,0,0,33,11,32,0,13
1169,3,2,6,6,35,13,29,0,8
1170,1,2,4,5,0,0,0,0,0
1170,2,2,0,0,0,16,54,0,21
1170,3,2,5,6,29,13,33,22,16
1171,1,1,4,4,32,0,109,0,23
1171,2,1,0,0,0,14,78,0,9
1171,3,1,5,6,33,11,65,18,10
1172,1,1,4,4,35,14,0,0,23
1172,2,1,0,0,37,12,0,0,9
1172,3,1,4,6,26,13,26,25,11
1174,1,1,5,4,0,0,0,0,0
1174,2,1,0,0,0,12,23,0,7
1174,3,1,6,6,38,12,26,11,8
1175,1,1,3,4,0,0,0,0,0
1175,2,1,0,0,0,0,0,0,0
1175,3,1,5,5,34,10,0,0,9
1176,1,1,4,4,0,0,0,0,0
1176,2,1,0,0,40,14,109,0,23
1176,3,1,0,0,37,9,81,22,14
1177,1,1,4,4,32,13,0,0,21
1177,2,1,0,0,35,16,33,0,9
1177,3,1,5,6,32,12,40,23,8
1178,1,2,5,4,31,12,107,0,0
1178,2,2,0,0,0,18,116,0,13
1178,3,2,0,0,33,18,66,0,0
1179,1,1,4,4,0,0,0,0,0
1179,2,1,0,0,40,17,150,0,21
1179,3,1,0,0,0,0,0,0,0
1180,1,1,5,5,31,16,65,0,26
1180,2,1,0,0,0,0,0,0,0
1180,3,1,0,0,0,0,0,0,0
1181,1,1,4,4,32,13,0,0,16
1181,2,1,0,0,33,13,26,0,8
1181,3,1,5,5,26,11,20,12,8
1183,1,1,4,4,29,15,119,0,25
1183,2,1,0,0,40,16,93,0,10
1183,3,1,5,5,36,14,69,0,8
1184,1,1,4,4,0,0,0,0,0
1184,2,1,0,0,39,16,93,0,11
1184,3,1,6,6,41,17,34,23,11
1185,1,1,4,4,0,0,0,0,0
1185,2,1,0,0,32,14,40,0,9
1185,3,1,5,5,32,18,30,21,7
1186,1,2,3,4,38,15,33,40,20
1186,2,2,0,0,37,17,32,40,0
1186,3,2,4,5,0,0,0,0,0
1187,1,1,4,4,0,0,0,0,0
1187,2,1,0,0,42,17,98,0,24
1187,3,1,5,5,42,15,0,20,12
1188,1,1,5,5,34,17,0,0,28
1188,2,1,0,0,37,16,90,0,15
1188,3,1,6,6,0,15,61,19,14
1190,1,1,4,4,34,12,0,0,24
1190,2,1,0,0,39,13,93,0,25
1190,3,1,5,6,33,13,24,16,9
1192,1,1,0,4,35,15,0,0,18
1192,2,1,0,0,34,17,46,0,8
1192,3,1,5,5,34,17,24,20,8
1193,1,1,4,4,30,17,120,0,16
1193,2,1,0,0,33,14,102,0,21
1193,3,1,5,6,34,16,32,17,13
1195,1,1,3,3,42,20,0,0,32
1195,2,1,0,0,30,18,0,0,12
1195,3,1,4,5,0,15,75,21,9
1196,1,1,3,3,0,0,0,0,0
1196,2,1,0,0,0,16,53,0,12
1196,3,1,4,5,39,11,43,30,22
1197,1,1,4,4,0,0,0,0,0
1197,2,1,0,0,0,17,21,0,12
1197,3,1,5,6,33,14,24,16,7
1198,1,1,4,4,0,0,0,0,0
1198,2,1,0,0,0,16,21,0,8
1198,3,1,4,5,34,13,27,10,7
1199,1,1,4,3,0,0,0,0,0
1199,2,1,0,0,0,16,0,0,13
1199,3,1,5,4,0,20,78,0,0
1200,1,1,3,4,0,0,0,0,0
1200,2,1,0,0,35,13,101,0,22
1200,3,1,5,6,35,10,62,21,24
1201,1,2,3,4,0,0,0,0,0
1201,2,2,0,0,0,0,0,0,15
1201,3,2,4,5,0,13,54,17,10
1203,1,1,4,4,0,0,0,0,0
1203,2,1,0,0,30,16,36,0,10
1203,3,1,5,5,35,16,0,21,10
1204,1,1,4,4,0,0,0,0,0
1204,2,1,0,0,38,6,44,0,16
1204,3,1,4,5,32,14,34,20,7
1205,1,2,4,4,0,0,0,0,0
1205,2,2,0,0,33,15,50,0,14
1205,3,2,5,4,33,15,40,15,13
1206,1,2,4,4,0,0,0,0,0
1206,2,2,0,0,0,0,0,0,0
1206,3,2,6,6,33,12,53,24,9
1207,1,0,0,0,35,19,0,0,0
1207,2,0,0,0,0,0,0,0,0
1207,3,0,0,0,0,0,0,0,0
1208,1,1,4,4,0,0,0,0,0
1208,2,1,0,0,0,15,29,0,8
1208,3,1,6,6,35,18,40,0,7
1209,1,1,4,4,0,0,0,0,0
1209,2,1,0,0,0,12,32,0,15
1209,3,1,5,5,35,19,31,20,8
1210,1,1,5,4,0,0,0,0,0
1210,2,1,0,0,36,14,142,0,17
1210,3,1,6,6,27,10,75,26,14
1211,1,2,4,5,0,19,0,0,15
1211,2,2,0,0,34,17,66,0,7
1211,3,2,5,5,0,17,23,12,7
1212,1,2,4,5,32,20,0,37,17
1212,2,2,0,0,33,20,24,40,7
1212,3,2,5,6,32,19,20,13,7
1214,1,1,4,4,0,0,0,0,0
1214,2,1,0,0,29,17,28,0,15
1214,3,1,6,6,0,0,0,0,0
1215,1,2,5,4,0,0,0,0,0
1215,2,2,0,0,34,17,0,0,13
1215,3,2,4,4,36,17,50,28,11
1216,1,1,4,5,0,0,0,0,0
1216,2,1,0,0,0,0,0,0,0
1216,3,1,6,6,34,13,53,20,11
1217,1,2,3,4,0,17,0,0,15
1217,2,2,0,0,0,15,92,0,10
1217,3,2,4,5,0,17,0,24,7
1218,1,2,4,4,0,0,0,0,0
1218,2,2,0,0,34,0,37,0,7
1218,3,2,5,5,0,12,32,27,7
1220,1,2,5,4,33,16,0,0,15
1220,2,2,0,0,0,11,70,0,22
1220,3,2,5,5,38,14,51,24,7
1221,1,1,4,4,30,19,0,0,17
1221,2,1,0,0,31,19,0,0,12
1221,3,1,6,6,36,16,35,0,9
1222,1,1,4,4,0,0,0,0,0
1222,2,1,0,0,34,14,35,0,9
1222,3,1,5,5,0,16,44,19,7
1223,1,1,1,2,0,0,0,0,0
1223,2,1,0,0,38,17,0,40,12
1223,3,1,0,0,0,0,0,0,0
1224,1,1,3,4,0,0,0,0,0
1224,2,1,0,0,35,12,0,0,19
1224,3,1,0,0,0,0,0,0,0
1225,1,1,4,4,0,0,0,0,0
1225,2,1,0,0,34,0,0,0,9
1225,3,1,5,6,0,12,49,0,9
1226,1,1,4,5,0,0,0,0,0
1226,2,1,0,0,35,15,56,0,12
1226,3,1,5,6,33,13,37,21,10
1227,1,1,4,4,0,0,0,0,0
1227,2,1,0,0,0,19,33,0,15
1227,3,1,6,6,31,18,21,12,11
1228,1,2,3,3,0,0,0,0,0
1228,2,2,0,0,0,16,103,0,0
1228,3,2,4,4,38,14,50,19,12
1229,1,1,4,4,37,15,0,0,0
1229,2,1,0,0,33,17,0,40,11
1229,3,1,6,6,31,15,21,0,7
1230,1,1,4,4,35,18,63,0,19
1230,2,1,0,0,36,12,91,0,10
1230,3,1,6,6,37,13,39,21,10
1231,1,0,0,0,0,0,0,0,0
1231,2,0,0,0,0,0,0,0,0
1231,3,0,5,6,32,17,40,24,9
1233,1,0,0,0,0,19,93,0,18
1233,2,0,0,0,0,0,0,0,0
1233,3,0,0,0,0,0,0,0,0
1235,1,1,4,4,0,0,0,0,0
1235,2,1,0,0,33,15,47,0,7
1235,3,1,6,4,33,18,25,0,7
1237,1,2,4,4,38,14,99,0,27
1237,2,2,0,0,40,18,80,0,11
1237,3,2,5,5,38,12,0,18,15
1239,1,1,4,4,0,0,0,0,0
1239,2,1,0,0,37,20,104,0,9
1239,3,1,6,6,36,20,26,11,8
1240,1,0,0,0,31,19,0,0,0
1240,2,0,0,0,0,0,0,0,0
1240,3,0,5,4,29,12,50,18,11
1241,1,1,5,4,31,20,0,0,18
1241,2,1,0,0,0,20,52,0,10
1241,3,1,6,6,34,18,52,22,8
