,X,ID,C1_B1,C1_B2,C1_B5,C1_B10,C1_B11,C1_B12,C1_B13,C1_B14,C1_B15,C1_B16,C1_B17,C1_B18,C1_B19,C1_B20,C1_B21,C1_B22,C1_B23,C1_B24,C1_B25,C2_B1,C2_B2,C2_B5,C2_B10,C2_B11,C2_B12,C2_B13,C2_B14,C2_B15,C2_B16,C2_B17,C2_B18,C2_B19,C2_B20,C2_B21,C2_B22,C2_B23,C2_B24,C2_B25,C3_B1,C3_B2,C3_B5,C3_B10,C3_B11,C3_B12,C3_B13,C3_B14,C3_B15,C3_B16,C3_B17,C3_B18,C3_B19,C3_B20,C3_B21,C3_B22,C3_B23,C3_B24,C3_B25,C1_AG1,C1_AG2,C1_AG3,C1_AG4,C2_AG1,C2_AG2,C2_AG3,C2_AG4,C3_AG1,C3_AG2,C3_AG3,C3_AG4,FSM,C1_SConcern1,C1_SConcern2,C1_SConcern3,C1_SConcern4,C1_SConcern5,C1_SConcern6,C1_SConcern7,C1_SConcern8,C1_SConcern9,C1_SConcern10,C1_SConcern11,C1_SConcern12,C1_SConcern13,C1_SConcern14,C1_SConcern15,C1_SConcern16,C1_SConcern17,C1_SConcern18,C1_SConcern19,C1_SConcern20,C2_SConcern1,C2_SConcern2,C2_SConcern3,C2_SConcern4,C2_SConcern5,C2_SConcern6,C2_SConcern7,C2_SConcern8,C2_SConcern9,C2_SConcern10,C2_SConcern11,C2_SConcern12,C2_SConcern13,C2_SConcern14,C2_SConcern15,C2_SConcern16,C2_SConcern17,C2_SConcern18,C2_SConcern19,C2_SConcern20,C3_SConcern1,C3_SConcern2,C3_SConcern3,C3_SConcern4,C3_SConcern5,C3_SConcern6,C3_SConcern7,C3_SConcern8,C3_SConcern9,C3_SConcern10,C3_SConcern11,C3_SConcern12,C3_SConcern13,C3_SConcern14,C3_SConcern15,C3_SConcern16,C3_SConcern17,C3_SConcern18,C3_SConcern19,C3_SConcern20,C2_SL1,C2_SL2,C2_SL3,C2_SL4,C2_SL5,C3_SL1,C3_SL2,C3_SL3,C3_SL4,C3_SL5,C1_LT1,C1_LT2,C1_LT3,C1_LT4,C1_LT5,C1_LT6,C1_LT7,C1_LT8,C1_LT9,C1_LT10,C2_LT1,C2_LT2,C2_LT3,C2_LT4,C2_LT5,C2_LT6,C2_LT7,C2_LT8,C2_LT9,C2_LT10,C3_LT1,C3_LT2,C3_LT3,C3_LT4,C3_LT5,C3_LT6,C3_LT7,C3_LT8,C3_LT9,C3_LT10,C1_L1,C1_L2,C1_L3,C1_L4,C1_L5,C1_L6,C1_L7,C1_L8,C1_L9,C1_L10,C1_L11,C1_L12,C1_L13,C1_L14,C1_L15,C2_L1,C2_L2,C2_L6,C2_L7,C2_L11,C2_L14,C2_L15,C3_L1,C3_L2,C3_L6,C3_L7,C3_L11,C3_L14,C3_L15,KS2MathstestNUM,KS2EnglishtestNUM,KS2EnglishTANUM,KS2EngComb
2211,2211,10138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2212,2212,10139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Certainly true,Not true,Not true,Sort of true,Not true,Not true,Not true,Not true,Not true,Not true,Certainly true,NA,Sort of true,Not true,Certainly true,Not true,Not true,Not true,Not true,Certainly true,Not true,Not true,Certainly true,Certainly true,Not true,Not true,Sort of true,Not true,Sort of true,Certainly true,Certainly true,Not true,Sort of true,Certainly true,Not true,Not true,Not true,Certainly true,NA,NA,NA,NA,Seldom,Often,Always,Seldom,Seldom,Always,Always,Sometimes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,9,Not at all worried,Not at all worried,6,I get extremely worried about it,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,2,Not at all worried,Not at all worried,Not at all worried,7,9,Not at all worried,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YES!!,NO!!,no,YES!!,NO!!,YES!!,NO!!,no,YES!!,NO!!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,Yes,No,YES!!,No,YES!!,NO!!,Yes,NO!!,yes,no,no,no,no,yes,yes,NO!!,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sometimes true,Not true at all,Not true at all,Not true at all,Not true at all,Not true at all,Sometimes true,Sometimes true,Not true at all,Not true at all,Always true,Not true at all,Not true at all,True most of the time,5,5,NA,5
2213,2213,10140,Certainly true,Not true,Not true,Not true,Certainly true,Not true,Not true,Certainly true,Not true,Not true,Certainly true,Not true,Not true,Sort of true,Sort of true,Not true,Not true,Not true,Certainly true,Sort of true,Sort of true,Not true,Sort of true,Certainly true,Not true,Not true,Certainly true,Sort of true,Not true,Sort of true,Not true,Not true,Sort of true,Sort of true,Not true,Not true,Not true,Sort of true,Sort of true,Sort of true,Not true,Certainly true,Certainly true,Not true,Not true,Certainly true,Sort of true,Not true,Certainly true,Not true,Not true,Sort of true,Sort of true,Not true,Not true,Not true,Sort of true,Often,Always,Always,Always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Seldom,Seldom,Often,Yes,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,3,4,Not at all worried,Not at all worried,5,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,3,Not at all worried,Not at all worried,3,3,3,4,Not at all worried,2,Not at all worried,Not at all worried,Not at all worried,Not at all worried,2,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,3,2,Not at all worried,Not at all worried,5,3,Not at all worried,2,yes,NO!!,no,YES!!,NO!!,yes,NO!!,no,no,NO!!,Yes,NO!!,YES!!,NO!!,YES!!,NO!!,YES!!,NO!!,Yes,Yes,NO!!,NO!!,NO!!,NO!!,Yes,NO!!,YES!!,No,Yes,Yes,yes,no,NA,YES!!,yes,NO!!,yes,no,yes,yes,Always true,Not true at all,Always true,Not true at all,Always true,Not true at all,Always true,Not true at all,Not true at all,Always true,Not true at all,Not true at all,Not true at all,Not true at all,Always true,True most of the time,Hardly ever true,Hardly ever true,True most of the time,Hardly ever true,Hardly ever true,True most of the time,Always true,Not true at all,Not true at all,Always true,Not true at all,Not true at all,True most of the time,5,5,NA,5
2214,2214,10141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Certainly true,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Certainly true,Sort of true,Not true,Not true,Certainly true,Not true,Not true,Sort of true,Certainly true,Sort of true,Certainly true,Not true,Not true,Certainly true,Sort of true,Not true,Not true,Not true,Sort of true,NA,NA,NA,NA,Sometimes,Seldom,Often,Sometimes,Seldom,Sometimes,Seldom,Never,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,3,6,Not at all worried,Not at all worried,4,Not at all worried,5,Not at all worried,Not at all worried,Not at all worried,7,Not at all worried,I get extremely worried about it,Not at all worried,8,4,4,5,Not at all worried,Not at all worried,yes,NO!!,no,YES!!,NO!!,yes,NA,NO!!,no,NO!!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YES!!,NO!!,Yes,NO!!,YES!!,NO!!,YES!!,NO!!,No,YES!!,YES!!,NO!!,yes,no,yes,no,YES!!,NO!!,yes,YES!!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,True most of the time,Sometimes true,Hardly ever true,Sometimes true,Not true at all,Sometimes true,Sometimes true,NA,NA,NA,NA,NA,NA,NA,4,4,NA,4
2215,2215,10142,Certainly true,Sort of true,Sort of true,Certainly true,Certainly true,Not true,Not true,Sort of true,Not true,Not true,Certainly true,Certainly true,Not true,Certainly true,Sort of true,Not true,Not true,Sort of true,Certainly true,Certainly true,Sort of true,Not true,Certainly true,Certainly true,Sort of true,Not true,Certainly true,Not true,Not true,Certainly true,Not true,Not true,Certainly true,Certainly true,Not true,Not true,Not true,Sort of true,Certainly true,Not true,Not true,Sort of true,Certainly true,Sort of true,Not true,Certainly true,Not true,Not true,Certainly true,Not true,Not true,Certainly true,Certainly true,Not true,Not true,Not true,Certainly true,Often,Sometimes,Sometimes,Never,Sometimes,Sometimes,Always,Always,Often,Often,Always,Sometimes,Yes,2,4,Not at all worried,4,3,2,I get extremely worried about it,2,Not at all worried,3,6,Not at all worried,Not at all worried,2,4,Not at all worried,Not at all worried,3,Not at all worried,5,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,2,Not at all worried,Not at all worried,Not at all worried,Not at all worried,2,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,YES!!,NO!!,NO!!,YES!!,NO!!,YES!!,NO!!,no,YES!!,NO!!,NO!!,NO!!,NO!!,Yes,No,YES!!,NO!!,NO!!,No,Yes,Yes,No,Yes,No,YES!!,No,YES!!,NO!!,No,Yes,yes,yes,yes,yes,yes,yes,yes,NO!!,no,YES!!,Always true,Not true at all,Always true,Not true at all,Always true,Not true at all,Always true,True most of the time,Not true at all,Always true,Not true at all,Not true at all,Not true at all,Not true at all,Always true,Always true,Not true at all,Not true at all,Always true,Not true at all,Not true at all,Always true,Always true,Not true at all,Not true at all,Not true at all,Not true at all,Not true at all,Always true,5,4,NA,4
2216,2216,10143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Certainly true,Certainly true,Not true,Certainly true,Certainly true,Not true,Sort of true,Certainly true,Sort of true,Not true,Certainly true,Not true,Sort of true,Certainly true,Certainly true,Not true,Sort of true,Not true,Sort of true,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Always,Always,Always,Always,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not at all worried,3,Not at all worried,4,Not at all worried,I get extremely worried about it,5,Not at all worried,Not at all worried,I get extremely worried about it,Not at all worried,5,7,I get extremely worried about it,Not at all worried,Not at all worried,3,Not at all worried,3,I get extremely worried about it,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YES!!,NO!!,no,YES!!,NO!!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YES!!,NO!!,Yes,NO!!,YES!!,NO!!,YES!!,NO!!,YES!!,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,True most of the time,Hardly ever true,Not true at all,Always true,Hardly ever true,Not true at all,True most of the time,NA,NA,NA,NA,NA,NA,NA,5,5,NA,5
2217,2217,10144,Certainly true,Not true,Not true,Not true,Certainly true,Not true,Not true,Certainly true,Not true,Not true,Certainly true,Not true,Not true,Certainly true,Certainly true,Not true,Not true,Certainly true,Certainly true,Sort of true,Not true,Not true,Not true,Certainly true,Not true,Not true,Sort of true,Not true,Not true,Certainly true,Certainly true,Not true,Sort of true,Sort of true,Not true,Sort of true,Not true,Sort of true,Certainly true,Not true,Sort of true,Not true,Certainly true,Not true,Not true,Not true,Not true,Sort of true,Sort of true,Sort of true,Not true,Sort of true,Certainly true,Not true,Sort of true,Sort of true,Sort of true,Often,Often,Always,Always,Always,Always,Always,Always,Often,Always,Often,Always,No,Not at all worried,5,5,Not at all worried,3,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,5,4,Not at all worried,I get extremely worried about it,Not at all worried,8,I get extremely worried about it,3,7,Not at all worried,4,7,Not at all worried,Not at all worried,Not at all worried,Not at all worried,2,Not at all worried,Not at all worried,Not at all worried,2,Not at all worried,Not at all worried,Not at all worried,6,8,Not at all worried,Not at all worried,5,Not at all worried,Not at all worried,2,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,8,2,3,5,Not at all worried,5,Not at all worried,Not at all worried,3,YES!!,NO!!,no,YES!!,NO!!,yes,no,no,yes,no,YES!!,No,YES!!,NO!!,YES!!,NO!!,YES!!,No,YES!!,YES!!,No,Yes,Yes,Yes,Yes,Yes,Yes,No,YES!!,Yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,True most of the time,Not true at all,Always true,Not true at all,Always true,Not true at all,True most of the time,Not true at all,Not true at all,Always true,Not true at all,Not true at all,Not true at all,Not true at all,Always true,True most of the time,Not true at all,Not true at all,Always true,Sometimes true,Hardly ever true,True most of the time,Always true,Not true at all,Not true at all,Always true,Not true at all,Not true at all,True most of the time,4,4,NA,4
2218,2218,10145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sort of true,Not true,Not true,NA,Certainly true,Not true,Not true,Sort of true,Not true,Not true,Certainly true,Not true,Not true,Certainly true,Certainly true,Not true,Not true,Not true,Certainly true,Sort of true,Sort of true,Sort of true,Not true,Certainly true,Not true,Certainly true,Certainly true,Not true,Sort of true,Certainly true,Not true,Sort of true,Certainly true,Sort of true,Not true,Sort of true,Certainly true,Certainly true,NA,NA,NA,NA,Sometimes,Often,Always,Always,Always,Always,Always,Always,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Not at all worried,2,Not at all worried,Not at all worried,Not at all worried,3,Not at all worried,I get extremely worried about it,Not at all worried,Not at all worried,I get extremely worried about it,Not at all worried,2,Not at all worried,I get extremely worried about it,Not at all worried,I get extremely worried about it,I get extremely worried about it,Not at all worried,2,4,Not at all worried,Not at all worried,5,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,6,Not at all worried,Not at all worried,Not at all worried,I get extremely worried about it,I get extremely worried about it,Not at all worried,YES!!,NO!!,no,no,no,no,YES!!,no,NO!!,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,NA,YES!!,NO!!,YES!!,No,Yes,NO!!,No,NO!!,YES!!,no,YES!!,NO!!,YES!!,NO!!,YES!!,YES!!,NO!!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hardly ever true,True most of the time,Not true at all,True most of the time,Sometimes true,NA,Hardly ever true,Sometimes true,Hardly ever true,Sometimes true,True most of the time,Not true at all,Not true at all,Sometimes true,5,4,NA,4
2219,2219,10146,Certainly true,Not true,Not true,Not true,Certainly true,Not true,Not true,Certainly true,Not true,Not true,Certainly true,Not true,Not true,Sort of true,Sort of true,Not true,Not true,Not true,Certainly true,Certainly true,Not true,Not true,Not true,Certainly true,Not true,Not true,Certainly true,Not true,Not true,Certainly true,Not true,Not true,Sort of true,Certainly true,Not true,Not true,Sort of true,Certainly true,Certainly true,Sort of true,Not true,Not true,Certainly true,Not true,Not true,Certainly true,Not true,Not true,Certainly true,Not true,Certainly true,Sort of true,Sort of true,Not true,Not true,Not true,Certainly true,Seldom,Sometimes,Seldom,Sometimes,Seldom,Seldom,Often,Sometimes,Seldom,Sometimes,Sometimes,Seldom,No,7,7,6,6,7,Not at all worried,5,Not at all worried,6,5,2,Not at all worried,5,Not at all worried,3,2,6,6,4,6,4,6,Not at all worried,Not at all worried,7,Not at all worried,6,Not at all worried,Not at all worried,2,Not at all worried,Not at all worried,6,Not at all worried,5,Not at all worried,5,5,4,4,3,4,Not at all worried,Not at all worried,4,Not at all worried,3,Not at all worried,Not at all worried,Not at all worried,2,2,2,4,Not at all worried,Not at all worried,Not at all worried,4,Not at all worried,Not at all worried,YES!!,NO!!,NO!!,YES!!,NO!!,YES!!,NO!!,no,NA,NO!!,Yes,No,Yes,NO!!,Yes,No,YES!!,NO!!,Yes,Yes,Yes,NO!!,Yes,NO!!,Yes,No,YES!!,No,Yes,YES!!,yes,no,yes,no,yes,NA,yes,yes,yes,yes,Always true,Not true at all,True most of the time,Not true at all,Always true,Not true at all,Always true,Not true at all,Not true at all,Always true,Not true at all,Not true at all,Not true at all,Not true at all,Always true,True most of the time,Not true at all,Not true at all,Always true,Not true at all,Not true at all,True most of the time,Sometimes true,Not true at all,Not true at all,Always true,Not true at all,Not true at all,Always true,5,5,NA,5
2220,2220,10147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2221,2221,10148,Certainly true,Sort of true,Not true,Not true,Certainly true,Not true,Not true,Certainly true,Not true,Not true,Certainly true,Sort of true,Not true,Certainly true,Certainly true,Not true,Not true,Not true,Certainly true,Certainly true,Sort of true,Not true,Sort of true,Certainly true,Not true,Not true,Sort of true,Not true,Sort of true,Certainly true,Not true,Not true,Certainly true,Certainly true,Certainly true,Not true,Not true,Certainly true,Certainly true,Sort of true,Not true,Sort of true,Certainly true,Not true,Not true,Sort of true,Not true,Not true,Certainly true,Sort of true,Sort of true,Certainly true,Certainly true,Certainly true,Not true,Not true,Sort of true,Sometimes,Often,Often,Often,Often,Always,Always,Always,Sometimes,Always,Always,Always,No,Not at all worried,2,2,2,Not at all worried,Not at all worried,3,Not at all worried,Not at all worried,3,3,3,2,Not at all worried,3,2,3,2,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,4,2,Not at all worried,Not at all worried,4,3,3,Not at all worried,2,Not at all worried,5,4,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,5,Not at all worried,5,Not at all worried,Not at all worried,Not at all worried,Not at all worried,2,2,Not at all worried,Not at all worried,Not at all worried,Not at all worried,5,Not at all worried,Not at all worried,yes,no,no,no,no,yes,no,no,no,no,Yes,No,No,YES!!,NO!!,YES!!,No,No,Yes,Yes,Yes,Yes,No,No,Yes,YES!!,Yes,Yes,Yes,Yes,NO!!,NO!!,NO!!,yes,no,YES!!,yes,yes,no,no,Sometimes true,Not true at all,True most of the time,Not true at all,Always true,Hardly ever true,True most of the time,Not true at all,Hardly ever true,True most of the time,Hardly ever true,Hardly ever true,Hardly ever true,Hardly ever true,True most of the time,True most of the time,Not true at all,Not true at all,Always true,Hardly ever true,Always true,True most of the time,True most of the time,Hardly ever true,Not true at all,True most of the time,Hardly ever true,Hardly ever true,True most of the time,4,4,NA,4
2222,2222,10149,Certainly true,Certainly true,Sort of true,Certainly true,Certainly true,Not true,Not true,Sort of true,Not true,Certainly true,Certainly true,Not true,Not true,Sort of true,Sort of true,Not true,Not true,Sort of true,Certainly true,Certainly true,Not true,Not true,Not true,Certainly true,Not true,Not true,Certainly true,Not true,Not true,Certainly true,Not true,Not true,Sort of true,Not true,Not true,Not true,Not true,Certainly true,Certainly true,Not true,Sort of true,Not true,Certainly true,Not true,Not true,Certainly true,Not true,Not true,Certainly true,Not true,Not true,Sort of true,Certainly true,Not true,Not true,Not true,Certainly true,Always,Often,Always,Sometimes,Always,Often,Sometimes,Always,Always,Always,Always,Often,Yes,5,8,3,8,7,2,I get extremely worried about it,Not at all worried,3,7,8,9,6,9,4,Not at all worried,4,5,I get extremely worried about it,8,2,2,Not at all worried,Not at all worried,Not at all worried,Not at all worried,4,Not at all worried,Not at all worried,4,4,Not at all worried,Not at all worried,Not at all worried,2,Not at all worried,3,3,Not at all worried,Not at all worried,Not at all worried,2,Not at all worried,Not at all worried,2,Not at all worried,3,Not at all worried,2,Not at all worried,3,Not at all worried,Not at all worried,2,Not at all worried,Not at all worried,Not at all worried,2,Not at all worried,Not at all worried,yes,no,NO!!,yes,NO!!,yes,no,NO!!,yes,NO!!,Yes,No,NO!!,NO!!,YES!!,NO!!,YES!!,NO!!,YES!!,YES!!,Yes,No,No,NO!!,Yes,Yes,Yes,NO!!,Yes,YES!!,yes,no,no,NO!!,YES!!,yes,yes,NO!!,yes,yes,Sometimes true,Not true at all,True most of the time,Not true at all,True most of the time,Not true at all,Not true at all,Hardly ever true,Not true at all,True most of the time,Not true at all,Not true at all,Not true at all,Not true at all,Sometimes true,Always true,Not true at all,Not true at all,Always true,Not true at all,Not true at all,True most of the time,Always true,Not true at all,Not true at all,Always true,Not true at all,Not true at all,Always true,4,4,NA,4
2223,2223,10150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Certainly true,Not true,Not true,Not true,Certainly true,Sort of true,Sort of true,Certainly true,Sort of true,Not true,Certainly true,Not true,Not true,Sort of true,Sort of true,Not true,Not true,Sort of true,Sort of true,Sort of true,Certainly true,Certainly true,Certainly true,Certainly true,Certainly true,Certainly true,Sort of true,Certainly true,Certainly true,Certainly true,Certainly true,Not true,Not true,Not true,Not true,Not true,Sort of true,Sort of true,NA,NA,NA,NA,Seldom,Often,Sometimes,Often,Sometimes,Often,Often,Sometimes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3,3,Not at all worried,Not at all worried,4,Not at all worried,Not at all worried,2,4,3,3,2,2,Not at all worried,8,3,5,8,3,5,Not at all worried,2,Not at all worried,9,I get extremely worried about it,Not at all worried,2,9,6,Not at all worried,3,4,4,Not at all worried,2,2,6,Not at all worried,YES!!,no,no,YES!!,NO!!,yes,NO!!,no,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YES!!,No,No,No,Yes,Yes,No,Yes,Yes,No,yes,yes,no,no,no,yes,yes,no,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Always true,Not true at all,Not true at all,Always true,Not true at all,Not true at all,Always true,True most of the time,Not true at all,True most of the time,Sometimes true,Not true at all,Not true at all,Always true,4,5,NA,5
2224,2224,10151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
